MissionId,NumberOfLeads,IsMissionHybrid,CustomerId,isCustomerActive,ListType,FilterLoading,ReservationStatusUpdate,DeathStatusUpdate,DeleteInvalidUnpaid,DisableInvalidAndStoplists,UpdateCurrentPaid,AddNewUnpaid,PurchaseUnpaid,CalculateLeads,MapcloudMarkers,totalMissionTime
24472,61,False,1310,False,Privat,2,813,166,None,None,None,None,None,None,None,981
24471,120,False,827,False,Privat,0,576,130,None,None,None,None,None,None,None,706
24469,43,False,1268,False,Privat,0,554,118,None,None,None,None,None,None,None,672
24465,1250,False,1288,False,Privat,0,554,95,None,None,None,None,None,None,None,649
24461,8846,False,1194,False,Privat,0,571,103,None,None,None,None,None,None,None,674
24460,93,False,1310,False,Privat,0,533,108,None,None,None,None,None,None,None,641
24457,500,False,1310,False,Privat,0,490,123,None,None,None,None,None,None,None,613
24453,162,False,82,True,Privat,0,None,107,954,None,11242,9190,None,15,None,21508
24451,5319,False,82,True,Privat,0,None,99,289,None,52258,50796,None,17,None,103459
24450,46,False,82,True,Privat,0,None,77,572,None,60793,8991,None,14,None,70447
24447,2841,False,82,True,Privat,0,None,110,334,None,99310,3191,None,13,None,102958
24445,301,False,82,True,Privat,0,None,85,699,None,47659,9221,None,24,None,57688
24444,9904,False,436,False,Privat,0,613,109,None,None,None,None,None,None,None,722
24443,281,False,82,True,Privat,0,None,99,494,None,17029,9192,None,14,None,26828
24442,100,False,1311,False,Privat,0,679,99,None,None,None,None,None,None,None,778
24432,50,False,1194,False,Privat,0,480,75,None,None,None,None,None,None,None,555
24431,200,False,1194,False,Privat,0,518,97,None,None,None,None,None,None,None,615
24429,121,False,1310,False,Privat,0,461,74,None,None,None,None,None,None,None,535
24415,53,False,82,True,Privat,0,None,119,555,None,2168,2677,None,19,None,5538
24413,120,False,82,True,Privat,0,None,107,523,None,10856,9482,None,12,None,20980
24412,315,False,82,True,Privat,0,None,107,552,None,2313,2703,None,12,None,5687
24407,200,False,1310,False,Privat,0,461,136,None,None,None,None,None,None,None,597
24406,100,False,1310,False,Privat,0,510,97,None,None,None,None,None,None,None,607
24404,50,False,1194,False,Privat,0,497,107,None,None,None,None,None,None,None,604
24401,100,False,1310,False,Privat,0,445,107,None,None,None,None,None,None,None,552
24397,682,False,1086,False,Privat,0,476,140,None,None,None,None,None,None,None,616
24396,906,False,1086,False,Privat,0,518,108,None,None,None,None,None,None,None,626
24395,200,False,1194,False,Privat,0,478,145,None,None,None,None,None,None,None,623
24393,200,False,1194,False,Privat,0,509,82,None,None,None,None,None,None,None,591
24391,1248,False,1288,False,Privat,0,516,98,None,None,None,None,None,None,None,614
24387,100,False,1311,False,Privat,0,486,106,None,None,None,None,None,None,None,592
24386,155,False,1194,False,Privat,0,496,103,None,None,None,None,None,None,None,599
24385,117,False,1268,False,Privat,0,420,108,None,None,None,None,None,None,None,528
24381,200,False,1194,False,Privat,0,471,86,None,None,None,None,None,None,None,557
24378,200,False,1194,False,Privat,0,463,92,None,None,None,None,None,None,None,555
24376,186,False,82,True,Privat,0,None,106,1037,None,22160,10090,None,15,None,33408
24375,566,False,82,True,Privat,0,None,112,457,1483,10069,3644,56,43,None,15864
24374,1133,False,1143,False,Privat,0,569,109,None,None,None,None,None,None,None,678
24373,1035,False,1309,False,Privat,0,689,169,None,None,None,None,None,None,None,858
24363,50,False,1194,False,Privat,0,573,151,None,None,None,None,None,None,None,724
