MissionId,NumberOfLeads,IsMissionHybrid,CustomerId,isCustomerActive,ListType,Operation,ExecutionTimeMs,NumberOfLeadsProcessed,ExceptionType
24216,781,False,82,True,Private,FilterLoading,0,0,None
24216,781,False,82,True,Private,DeleteInvalidUnpaid,639,0,None
24216,781,False,82,True,Private,DeathStatusUpdate,128,0,None
24216,781,False,82,True,Private,UpdateCurrentPaid,23436,0,None
24216,781,False,82,True,Private,AddNewUnpaid,3183,44,None
24216,781,False,82,True,Private,CalculateLeads,15,0,None
24216,781,False,82,True,None,totalMissionTime,27401,None,None
