MissionId,NumberOfLeads,IsMissionHybrid,CustomerId,isCustomerActive,ListType,Operation,ExecutionTimeMs,NumberOfLeadsProcessed,ExceptionType
24189,804,False,82,True,Private,FilterLoading,0,0,None
24189,804,False,82,True,Private,DeleteInvalidUnpaid,744,0,None
24189,804,False,82,True,Private,DeathStatusUpdate,403,0,None
24189,804,False,82,True,Private,UpdateCurrentPaid,43223,0,None
24189,804,False,82,True,Private,AddNewUnpaid,9422,31,None
24189,804,False,82,True,Private,CalculateLeads,15,0,None
24189,804,False,82,True,None,totalMissionTime,53807,None,None
