MissionId,NumberOfLeads,IsMissionHybrid,CustomerId,isCustomerActive,ListType,Operation,ExecutionTimeMs,NumberOfLeadsProcessed,ExceptionType
24131,1862,False,82,True,Private,FilterLoading,0,0,None
24131,1862,False,82,True,Private,DeleteInvalidUnpaid,3000,0,None
24131,1862,False,82,True,Private,DeathStatusUpdate,197,0,None
24131,1862,False,82,True,Private,UpdateCurrentPaid,16386,0,None
24131,1862,False,82,True,Private,AddNewUnpaid,4693,66,None
24131,1862,False,82,True,Private,CalculateLeads,30,0,None
24131,1862,False,82,True,None,totalMissionTime,24306,None,None
