MissionId,NumberOfLeads,IsMissionHybrid,CustomerId,isCustomerActive,ListType,Operation,ExecutionTimeMs,NumberOfLeadsProcessed,ExceptionType
24289,132,False,82,True,Private,FilterLoading,0,0,None
24289,132,False,82,True,Private,DeleteInvalidUnpaid,2310,0,None
24289,132,False,82,True,Private,DeathStatusUpdate,204,0,None
24289,132,False,82,True,Private,UpdateCurrentPaid,11671,0,None
24289,132,False,82,True,Private,AddNewUnpaid,9176,3,None
24289,132,False,82,True,Private,CalculateLeads,27,0,None
24289,132,False,82,True,None,totalMissionTime,23388,None,None
